관측소,1월 강수량,2월 강수량,3월 강수량,4월 강수량,5월 강수량,6월 강수량,7월 강수량,8월 강수량,9월 강수량,10월 강수량,11월 강수량,12월 강수량,합계
전주 대성동,17,37.5,25,77,45.5,71,120,6,25.5,85,28,5,542.5
전주 송천2동,7,40,18.5,77.5,29.5,72.5,38,15.5,152.5,76,42,14.5,583.5
전주 원당동,5.5,,17,83,39.5,38,153.5,121,157,80,28.5,1.5,724.5
전주 장동,10,41,28,80.5,36,66,125,103,198.5,63,39.5,13.5,804
전주 진북동,11,38,24,74.5,31,22.5,156,76,140,70.5,56,22.5,722
전주 호성동,6.5,43.5,21,76.5,35.5,79,157.5,93.5,132,68,53,20.5,786.5
전주 효자1동,8,35,26,76,35.5,77.5,141.5,94,145,67.5,57.5,26,789.5
군산 나운2동,,,,,,,,,,,,4,4
군산 나포면,3,35,31,89,40,81,229,100,182,81,93,14,978
군산 대야면,2,36,29,95,45,81,204,102,227,82,62,15,980
군산 미성동,8,34,31,106,44,84,191,95,250,102,84,16,1045
군산 서수면,2,18,32,85,44,75,187,111,202,71,65,14,906
군산 성산면,0,0,0,0,0,0,178,119,202,88,87,18,692
군산 소룡동,4,32,28,89,43,75,166,98,234,84,86,15,954
군산 옥구읍,5,31,28,80,46,90,226,101,217,82,67,14,987
군산 옥산면,6,35,3,98,45,85,217,95,249,0,69,15,917
군산 임피면,6,37,24,55,44,77,182,100,195,70,72,16,878
군산 조촌동,5,35,28,79,37,80,198,117,206,82,76,16,959
군산 해신동,6,35,29,85,43,71,170,83,220,95,96,18,951
군산 회현면,4,32,30,89,40,83,202,100,229,82,54,15,960
군산 흥남동,,,,,,,,,,,,3,3
석탄동 유천배수문,1,15.5,4.5,57,3.5,3,33.5,93,202.5,61,57,5,536.5
익산 금마면,5,38,26,89,42,67,164,136,223,73,70,12,945
익산 남중동,5,36,27,91,41,76,181,158,230,80,71,14,1010
익산 낭산면,2,42,30,91,35,64,182,94,212,78,83,13,926
익산 망성면,2,43,30,86,35,56,183,97,179,84,101,13,909
익산 삼기면,4,37,29,73,36,61,170,121,220,68,66,14,899
익산 삼성동,4,38,28,92,43,74,170,136,237,73,70,14,979
익산 성당면,0,,31,87,41,64,195,89,177,90,109,14,897
익산 여산면,4,40,26,80,35,50,173,123,213,70,69,15,898
익산 영등2동,4,35,27,86,43,70,170,133,207,72,77,15,939
익산 오산면,5,36,28,90,42,75,179,131,219,74,68,16,963
익산 왕궁면,8,43,21,88,42,77,149,110,237,66,51,13,905
익산 용안면,2,39,33,81,39,65,224,85,173,88,112,14,955
익산 웅포면,2,38,30,88,44,77,245,105,182,85,109,15,1020
익산 월성동,3,35,27,77,39,61,157,130,201,63,37,4,834
익산 인화동,6,34,24,96,43,75,171,137,249,79,62,4,980
익산 춘포면,6,35,23,87,42,71,151,103,223,71,43,13,868
익산 팔봉동,4,36,27,93,43,70,163,130,235,69,60,15,945
익산 함라면,1,,31,94,44,70,214,104,190,91,102,14,955
익산 함열읍,0,,31,87,41,64,195,89,177,90,109,14,897
정읍 감곡면,11,32,23,136,59,83.5,166.5,135.5,233.5,84,50,16.5,1030.5
정읍 고부면,14.5,34.5,29,96.5,60,86,202,152,278,81.5,51.5,18,1103.5
정읍 덕천면,14.5,32,25.5,119.5,54.5,77.5,255,157,274.5,89,47.5,18,1164.5
정읍 북면,17,34,25,127.5,51,73,243,186.5,249,96,52,18.5,1172.5
정읍 산내면,21,32.5,45,126,62.5,77.5,325.5,201.5,241.5,143.5,62,24.5,1363
정읍 산외면,1.3,2.8,2.4,4.8,41.8,61,198,145,183.5,96.5,52,21,810.1
성읍 소성면,12.5,29,18.5,119.5,56.5,74,216,191,267,93,50,18,1145
정읍 수성동,14.5,31.5,24,130,55.5,75.5,272,208.5,307,99.5,50,21,1289
정읍 신태인읍,12.5,31.5,21.5,126,57,76,205,139,250,80.5,50,14.5,1063.5
정읍 영원면,14,36.5,25.5,132,65.5,93.5,282,166.5,264.5,93,43.5,16.5,1233
정읍 옹동면,14,32.5,24,147.5,50,71,243,155.5,218,96,49,18.5,1119
정읍 이평면,7.5,54,37.5,118.5,54.5,80,280.5,146.5,246,85.5,51,16.5,1178
정읍 입암면,15,34.5,28,118.5,64,76.5,201,212,290,104,51,21.5,1216
정읍 정우면,13,30.5,23.5,78.5,42,71.5,246,122.5,252.5,83.5,51,,1014.5
정읍 칠보면,16.5,30.5,26,79,50,63.5,233,219.5,199,108.5,52.5,22.5,1100.5
정읍 태인면,15.5,29,22,89,48,68.5,255.5,145.5,228,87,48.5,15,1051.5
남원 금지면,12,39,28,84,63,156,233,127,186,179,19,24,1150
남원 대강면,14,44,34,88,77,171,312,171,224,208,28,26,1397
남원 대산면,12,39,35,79,61,179,343,128,179,158,26,22,1261
남원 덕과면,8,46,36,85,68,136,384,154,168,142,28,23,1278
남원 도통동,12,44,30,79,56,198,316,139,152,161,23,25,1235
남원 사매면,7,53,35,76,61,128,301,172,163,140,23,25,1184
남원 산내면,8,65,44,84,74,153,323,90,355,218,33,31,1478
남원 산동면,8,57,54,90,66,188,422,160,384,308,80,54,1871
남원 송동면,11,43,24,85,73,192,249,124,207,201,20,26,1255
남원 수지면,9,50,28,93,82,189,251,128,206,198,26,28,1288
남원 아영면,8,62,66,104,75,115,325,144,256,140,29,27,1351
남원 이백면,13,47,35,89,54,174,349,136,209,169,29,27,1331
남원 인월면,9,63,56,95,80,151,377,161,349,196,32,27,1596
남원 주생면,15,46,35,97,73,212,295,144,226,192,26,26,1387
남원 주천면,10,55,30,92,68,199,341,103,75,242,62,54,1331
남원 보절면,6,21,38,82,63,149,362,129,166,133,28,27,1204
남원 운봉면,3,53,48,108,76,181,411,148,308,205,34,30,1605
김제 공덕면,7,33,26,59,47,82,157,158,230,78,56,13,946
김제 광활면,5,32,22,103,43,34,163,95,198,80,47,14,836
김제 금구면,10,37,28,106,55,90,176,142,261,55,51,19,1030
김제 금산면,6,39,23,104,53,75,172,72,121,44,52,16,777
김제 만경읍,6,35,27,99,40,89,176,100,203,85,49,14,923
김제 백구면,6,36,24,87,48,60,153,112,258,85,62,14,945
김제 백산면,7,34,30,96,47,77,86,107,216,85,41,13,839
김제 봉남면,7,34,24,102,53,84,166,99,234,66,44,15,928
김제 부량면,10,35,25,105,50,84,221,135,253,76,44,15,1053
김제 서암동,9,33,25,92,49,82,185,132,228,80,51,15,981
김제 성덕면 ,7,29,25,103,50,112,186,123,222,86,51,18,1012
김제 용지면,7,32,24,102,48,88,149,110,236,86,53,12,947
김제 죽산면,10,32,25,103,50,822,171,73,226,64,55,18,1649
김제 진봉면,6,32,22,98,43,106,198,90,203,81,45,14,938
김제 청하면,6,35,26,97,43,95,193,95,224,83,55,13,965
김제 황산면,6,35,30,99,51,72,185,104,237,68,11,4,902
완주 경천면,5,55,25,92,48,97,206,99,212,73,51,17,980
완주 고산면,5,45,19,92,47,80,175,113,228,73,45,15,937
완주 구이면,11,33,26,93,41,83,164,138,176,79,39,19,902
완주 대둔산,6.5,52.5,49,95,52.5,144.5,243.5,112,218.5,100.5,84.5,17,1176
완주 동상면,5,45,20,90,42,93,180,137,154,69,52,19,906
완주 봉동읍,7,39,16,90,39,79,170,87,221,64,41,14,867
완주 비봉면,5,46,25,93,51,75,212,125,252,73,62,14,1033
완주 삼례읍,7.5,35.5,20,98.5,41,77,143.5,96.5,220.5,67,43,11.5,861.5
완주 상관면,8,36,25,90,51,76,174,191,171,81,57,15,975
완주 소양면,8,53,31,94,54,103,237,134,155,76,101,30,1076
완주 용진읍,7,37,20,97,40,79,174,132,195,68,46,15,910
완주 운주면,5,51,41,100,46,125,210,149,85,,,,812
완주 이서면,9,34,31,94,45,76,155,80,214,71,17,5,831
완주 화산면,5,54,30,90,50,76,208,118,226,75,167,41,1140
진안 동향면,11,45,44,109,60,139,254,120,221,123,40,19,1185
진안 마령면,7,45,31,97,57,111,243,112,175,120,43,21,1062
진안 백운면,10,45,34,90,56,121,247,124,133,101,51,23,1035
진안 부귀면,4,0,1,27,41,70,142,203,149,109,20,0,766
진안 상전면,10,51,45,120,62,130,229,137,202,138,41,19,1184
진안 성수면,13,39,32,94,68,103,210,106,180,111,47,21,1024
진안 안천면,10,46,36,112,49,129,191,160,225,118,41,18,1135
진안 용담면,7,43,33,101,44,144,197,120,294,102,41,16,1142
진안 정천면,12,61,50,113,66,140,283,183,215,112,57,22,1314
진안 주천면,0,0,0,6,2,1,224,117,257,108,60,23,798
진안 진안읍,7,45,31,97,57,111,243,112,175,120,43,21,1062
무주 무주읍,8,35.5,28.5,93.5,33.5,89,218.5,125.5,233,100.5,33.5,16.5,1015.5
무주 무풍면,5,35,24,99,57,79,213,138,207,112,36,18,1023
무주 부남면,4,39,27,91,37,126,169,112,257,108,33,17,1020
무주 설천면,5,37,21,97,45,79,215,127,220,125,41,18,1030
무주 안성면,7,42,8,96,44,86,182,113,193,116,35,18,940
무주 적상면,7,42,26,98,42,86,199,168,235,98,39,15,1055
장수 번암면,12.5,47,60.5,94,81.5,128,302,118,201.5,111.5,33.5,28,1218
장수 산서면,8,40.5,34,77,61,124.5,198.5,131,127,115,35,23,974.5
장수 계북면,19,36,45,101,54,134.5,217.5,89.5,134,133,44.5,23,1031
장수 천천면,19.5,35.5,15.5,35,56.5,140,208,87.5,149,138.5,48.5,20.5,954
장수 장계면,12,32,37.5,103,65.5,139,248,87.5,247.5,136.5,45,22,1175.5
장수 뜬봉샘,15,54.5,52.5,100.5,85.5,152.5,303,121.5,219,133.5,44.5,27,1309
장수 계남면,14.5,30,32.5,88,57.5,131.5,271,65.5,217.5,114,37.5,19.5,1079
장수 지지마을,12,50,59,74,26,0,244,92,211,159,32,17,976
장수 육십령,8,23,34,86,37,23,253,43,167,151,35,22,882
임실 강진면,13,35,41.5,82.5,77.5,97.5,387.5,188,172,134,39,19,1286.5
임실 관촌면,13.5,39.5,33,98,64,113.5,226.5,127.5,166.5,133,44.5,20.5,1080
임실 덕치면,12,45,48.5,86.5,79.5,93.5,450.5,169.5,178,162,40.5,21.5,1387
임실 삼계면,4.5,26.5,27.5,63,64,97.5,255,124,153.5,143.5,27.5,13.5,1000
임실 성수면,5,22,24.5,67,49,93,237.5,146.5,130,109.5,35.5,13,932.5
임실 신덕면,16,46,,52.5,57,94.5,183,144,189,96,41,23,942
임실 오수면,8,37,32,78.5,68.5,125,261,133.5,159.5,164.5,32.5,19,1119
임실 운암면,18,59.5,48,126.5,78.5,135,270,198,261.5,144.5,70,28,1437.5
임실 신평면,13.5,38,36,84,55,94,225.5,136,169.5,115,46.5,20.5,1033.5
임실 임실군,11.5,34.5,31.5,79.5,56,98,251,132.5,147.5,120,40.5,19.5,1022
임실 지사면,8.5,40,40.5,80.5,60,135.5,218,147.5,138,137.5,36,22.5,1064.5
임실 청웅면,10,40,42,83,67.5,99.5,309,179.5,163,125,40.5,20,1179
순창 구림면,12,52,56,91,89,122,470,150,201,163,46,25,1477
순창 금과면,10,42,35,74,86,121,280,127,142,200,29,22,1168
순창 순창읍,10,45,36,72,80,152,326,114,162,176,28,24,1225
순창 쌍치면,6,46,34,70,69,81,309,216,203,133,48,19,1234
순창 유등면,12,43,28,61,69,143,258,123,182,191,29,23,1162
순창 팔덕면,10,48,43,84,93,143,425,105,185,179,28,22,1365
산충 인계면,5,48,38,76,81,117,388,90,178,161,30,20,1232
순창 적성면,12,44,32,82,72,148,306,108,121,159,31,24,1139
순창 복흥면,8,47,44,92,92,88,332,245,220,155,32,22,1377
순창 풍산면,15,45,31,60,80,139,258,133,172,194,30,25,1182
순창 동계면,13,43,37,56,78,129,325,131,169,160,29,21,1191
고창 고창읍,5.5,27,19.5,75,58,71,156,211.5,228.5,109.5,42,18.5,1022
고창 흥덕면,5,31,25.5,87,53.5,77,168,169.5,230.5,105,57.5,18,1027.5
고창 대산면,4.5,17.5,17,86,64,42,138.5,248,265,120.5,35.5,21,1059.5
고창 신림면,5.5,33,21.5,84,55.5,73.5,173.5,172.5,242.5,116,48,17.5,1043
고창 고수면,6,28,18,74,59.5,69.5,166,236,232.5,115,36,19,1059.5
고창 무장면,6,34,26,89,70,79.5,199.5,233.5,301,124.5,57,23,1243
고창 성내면,5,30.5,20.5,93.5,58,37.5,172.5,193.5,249.5,109.5,46.5,20.5,1037
고창 심원면,4,27,22,86.5,58,70,148.5,221,229,113,44.5,13.5,1037
고창 부안면,6,36,12.5,94,63.5,85,201.5,236,249,106,69.5,20.5,1179.5
고창 공음면,4.5,33,26,93,70,78.5,160,234.5,316,117,64,21,1217.5
고창 성송면,6.5,33,23,82,71,71.5,166.5,230,261,113.5,38,25.5,1121.5
고창 아산면,5,29,22.5,81,53.5,77,157.5,161.5,248.5,100.5,46.5,19.5,1002
고창 해리면,5,32.5,25.5,84,63.5,68.5,183,256.5,293.5,123,61.5,21.5,1218
고창 상하면,4,28.5,26.5,72.5,62.5,60.5,146,230.5,224.5,87.5,48,16.5,1007.5
고창 선운산,6,27.5,23.5,36,23.5,11.5,194,238,247,109,61,13,990
고창 동호리,2.5,21.5,17,39.5,20,10.5,157,222,215,86,53,15,859
부안 변산면,9,22.5,23.5,77,66.5,76,156,132.5,223,110.5,49.5,15,961
부안 진서면,8.5,30,19,79,56,79,189.5,200.5,227,105,48.5,16,1058
부안 계화면,6.5,23.5,5.5,75.5,55.5,85,175.5,122,198,83,47.5,16,893.5
부안 상서면,11,28.5,34.5,81,66.5,96.5,189.5,163,222,101,71.5,18.5,1083.5
부안 주산면,11,30.5,27.5,78.5,63.5,97,235,167,235.5,93.5,59,19.5,1117.5
부안 백산면,9,29,29,82,57.5,87,260,154,263.5,86.5,49.5,16,1123
부안 부안읍,5.5,31,26,85,59,90.5,241,118,250.5,84.5,57,16.5,1064.5
부안 동진면,10,29.5,24.5,84,58.5,88.5,226.5,130,235,90,54.5,18.5,1049.5
부안 하서면,3.5,19.5,26,76.5,62,88,152.5,146,212.5,97.5,53,16,953
부안 보안면,11,35,21,76,55,87,255,182,217.5,90.5,43,23.5,1096.5
